1001	Deposit	12000.0	2025-07-10 11:55:01
1001	Withdraw	6500.0	2025-07-10 11:55:11
1001	Deposit	100.0	2025-07-10 12:03:32
1001	Withdraw	50.0	2025-07-10 12:03:39
1001	Withdraw	500.0	2025-07-10 13:00:18
1001	Withdraw	1200.0	2025-07-10 13:13:10
1001	Transfer Out	1200.0	2025-07-10 13:13:18
1001	Withdraw	200.0	2025-07-10 13:56:16
1003	Deposit	200.0	2025-07-10 13:56:20
1001	Transfer Out	200.0	2025-07-10 13:56:22
1003	Transfer In	200.0	2025-07-10 13:56:22
1001	Withdraw	100.0	2025-07-10 14:01:21
1003	Deposit	100.0	2025-07-10 14:01:25
1001	Transfer Out	100.0	2025-07-10 14:01:28
1003	Transfer In	100.0	2025-07-10 14:01:28
1001	Deposit	10000000.0	2025-07-11 11:09:38
1001	Withdraw	1000.0	2025-07-11 11:15:36
1003	Deposit	1000.0	2025-07-11 11:15:39
1001	Transfer Out	1000.0	2025-07-11 11:15:42
1003	Transfer In	1000.0	2025-07-11 11:15:42
1001	Withdraw	1000.0	2025-07-11 11:18:38
1003	Deposit	1000.0	2025-07-11 11:18:39
1001	Transfer Out	1000.0	2025-07-11 11:18:39
1003	Transfer In	1000.0	2025-07-11 11:18:39
1001	Withdraw	10000.0	2025-07-11 11:26:05
1003	Deposit	10000.0	2025-07-11 11:26:05
1001	Transfer Out	10000.0	2025-07-11 11:26:05
1003	Transfer In	10000.0	2025-07-11 11:26:05
1001	Withdraw	1000.0	2025-07-11 11:44:48
1002	Deposit	1000.0	2025-07-11 11:44:48
1001	Transfer Out	1000.0	2025-07-11 11:44:48
1002	Transfer In	1000.0	2025-07-11 11:44:48
1001	Withdraw	2000.0	2025-07-11 11:45:26
1002	Deposit	2000.0	2025-07-11 11:45:26
1001	Transfer Out	2000.0	2025-07-11 11:45:26
1002	Transfer In	2000.0	2025-07-11 11:45:26
1001	Withdraw	2000.0	2025-07-11 11:46:59
1003	Deposit	2000.0	2025-07-11 11:47:00
1001	Transfer Out	2000.0	2025-07-11 11:47:00
1003	Transfer In	2000.0	2025-07-11 11:47:00
1001	Withdraw	2000.0	2025-07-11 11:49:54
1002	Deposit	2000.0	2025-07-11 11:49:54
1001	Transfer Out	2000.0	2025-07-11 11:49:54
1002	Transfer In	2000.0	2025-07-11 11:49:54
1001	Withdraw	2000.0	2025-07-11 11:57:13
1002	Deposit	2000.0	2025-07-11 11:57:13
1001	Transfer Out	2000.0	2025-07-11 11:57:13
1002	Transfer In	2000.0	2025-07-11 11:57:13
1001	Deposit	1000.00	2025-07-23 12:37:39
1001	Withdraw	5000.00	2025-07-23 12:37:47
1001	Withdraw	2000.00	2025-07-23 12:38:25
1003	Deposit	2000.00	2025-07-23 12:38:26
1001	Transfer Out	2000.00	2025-07-23 12:38:27
1003	Transfer In	2000.00	2025-07-23 12:38:27
1001	Withdraw	1000.0	2025-07-23 12:48:32
1002	Deposit	1000.0	2025-07-23 12:48:32
1001	Transfer Out	1000.0	2025-07-23 12:48:32
1002	Transfer In	1000.0	2025-07-23 12:48:32
1001	Withdraw	1000.0	2025-07-23 12:51:24
1002	Deposit	1000.0	2025-07-23 12:51:24
1001	Transfer Out	1000.0	2025-07-23 12:51:24
1002	Transfer In	1000.0	2025-07-23 12:51:24
